Spécialité commerciale;Matière active (M.A.);Autre;Concentration en M.A. (% );Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);New Biocontrol Column;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Insecticide;New Biocontrol Column;Nombre de traitements autorisés
KENTAN 40 WG;cuivre ;;40.0;3.0;1.2;3.0;CEPSUL ESPECIAL 98,5 %;Sulphur ;;25.0;24.6;1.0;8.0;AGREE 50 WG;Bacillus thuringiensis subsp. aizawai SOUCHE: GC-91 Collection de cultures: ;;1.5;0.0;1.0;4.0;ISONET L PLUS;(E,Z)-7,9-dodécadien-1-yl acétate  585.0 g/kg | (Z)-9-dodécen-1-yl acétate  66.0 g/kg;1.0;VIO-TRAP;deltaméthrine ;;160.0;20.0;1;1;2.0
NORDOX 75 WG JARDIN;cuivre de l'oxyde cuivreux ;Jardin autorisé;75.0;0.533;0.4;3.0;POL-SULPHUR 80 WG;soufre ;;4.0;3.2;1.0;8.0;LEPINOX PLUS;Bacillus thuringiensis subsp. kurstaki souche EG 2348 ;;1.0;0.0;1.0;3.0;ISONET L PLUS;(E,Z)-7,9-dodécadien-1-yl acétate  585.0 g/kg | (Z)-9-dodécen-1-yl acétate  66.0 g/kg;1.0;IODUS 2 CULTURES SPECIALISEES;laminarine ;;2.0;0.1;0;1;20.0
NORDOX 75 WG JARDIN;cuivre de l'oxyde cuivreux ;Jardin autorisé;75.0;0.2;0.2;3.0;OIDIOL POUDRAGE;Sulphur ;;20.0;19.4;1.0;3.0;PYREVERT;pyréthrines ;;1.5;0.279;0.0;3.0;CHECKMATE PUFFER LB;(E,Z)-7,9-dodécadien-1-yl acétate  87.77 g/L;1.0;LUMIERE;huile de paraffine ;;10.8;;1;1;1.0
BOUILLIE BORDELAISE NC 20 K;sulfate de cuivre ;;20.0;25.0;5.0;;LABELIS EV;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;;FITOPYR;pyréthrines ;;1.5;0.279;0.0;3.0;LOBETEC;(E,Z)-7,9-dodécadien-1-yl acétate  210.0 mg/diffuseur;1.0;BLINDAR;Trichoderma gamsii ICC080 ;;1.0;2001201.2;0;1;2.0
BOUILLIE BORDELAISE UPL;sulfate de cuivre ;;20.0;25.0;5.0;;LABELIS EV;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;;DOCTRIN;Bacillus thuringiensis subsp. kurstaki souche PB 54 ;;1.0;0.0;1.0;3.0;ISONET L;(E,Z)-7,9-dodécadien-1-yl acétate  643.0 g/kg;1.0;ESCALATOR;Trichoderma gamsii ICC080 ;;1.0;2001201.2;0;1;2.0
NORDOX VITIS;cuivre ;;45.0;1.66;0.7;5.0;KUMULUS JARDIN;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;2.0;COSTAR WG;Bacillus thuringiensis subsp. kurstaki souche SA-12 ;;1.0;0.0;1.0;12.0;ISONET L;(E,Z)-7,9-dodécadien-1-yl acétate  643.0 g/kg;1.0;ROMEO;cerevisane ;;0.25;0.2;0;1;10.0
NORDOX VITIS;cuivre ;;45.0;1.66;0.7;5.0;KUMULUS JARDIN;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;8.0;DIPEL DF;Bacillus thuringiensis subsp. kurstaki SOUCHE: ABTS 351 Collection de cultu ;;1.0;0.0;1.0;6.0;ISONET LA PLUS;(Z)-9-dodécen-1-yl acétate  61.0 g/kg | (Z)-11-tetradécen-1-yl acétate  212.0 g/kg | (Z)-9-tetradécen-1-yl acétate  11.0 g/kg | (E,Z)-7,9-dodécadien-1-yl acétate  552.0 g/kg;1.0;MAGNET MED;deltaméthrine ;;75.0;0.8;1;1;
NORDOX VITIS;cuivre ;;45.0;1.33;0.6;3.0;POL-SULPHUR 80 WP;soufre ;;4.0;3.2;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;BIOOTWIN L;(E,Z)-7,9-dodécadien-1-yl acétate  792.0 g/kg;1.0;BIOACT PRIME;Paecilomyces lilacinus souche 251 ;;0.75;3300000.0;0;1;5.0
NORDOX VITIS;cuivre ;;45.0;1.33;0.6;3.0;ACOIDAL WG;soufre ;;4.0;3.2;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;CHECKMATE PUFFER LB/EA;(Z)-9-dodécen-1-yl acétate  104.2 g/kg | (E,Z)-7,9-dodécadien-1-yl acétate  91.1 g/kg;1.0;DECIS TRAP;deltaméthrine ;;80.0;0.1;1;1;1.0
CUIVRISTAL;hydroxyde de cuivre ;;33.9;3.75;1.3;4.0;SOUFRE SUBLIME AFEPASA;soufre ;;25.0;24.8;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;ISONET LE;(E,Z)-7,9-dodécadien-1-yl acétate  47.25 % | (Z)-9-dodécen-1-yl acétate  47.25 %;1.0;SOKALCIARBO WP;kaolin ;;20.0;20.0;0;1;4.0
